player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
1445400%,Anirudh Singh,Left hand Bat,Right arm Medium, ,Anirudh Singh,Anirudh Singh,
35900%,Ankit Sharma,Left hand Bat,Slow Left arm Orthodox, ,Ankit Nagendra Sharma,Ankit Nagendra,
72600%,Ankit Soni,Right hand Bat,Legbreak, ,Ankit Soni,Ankit Soni,
636000%,Anmolpreet Singh,Right hand Bat,Right arm Offbreak, ,Anmolpreet Singh,Anmolpreet Singh,
593500%,Anuj Rawat,Left hand Bat, , ,Anuj Rawat,Anuj Rawat,https://www.espncricinfo.com/cricketers/anuj-rawat-1123073
76700%,Anureet Singh,Right hand Bat,Right arm Medium, ,Kathuria Anureet Singh,Kathuria Anureet,
1523900%,AP Dole,Right hand Bat,Right arm Medium fast, ,Aditya Pradip Dole,Aditya Pradip,
3536400%,AP Majumdar,Right hand Bat,Legbreak Googly, ,Anustup Prabir Majumdar,Anustup Prabir,
17700%,AP Tare,Right hand Bat, ,Wicketkeeper,Aditya Prakash Tare,Aditya Prakash,
74400%,AR Bawne,Right hand Bat,Right arm Offbreak, ,Ankit Ramdas Bawne,Ankit Ramdas,
7000%,AR Patel,Left hand Bat,Slow Left arm Orthodox, ,Axar Rajeshbhai Patel,Axar Rajeshbhai,
880500%,Arjun Tendulkar,Left hand Bat,Left arm Medium fast, ,Arjun Sachin Tendulkar,Arjun Sachin,
838900%,Arshad Khan,Left hand Bat,Left arm Medium,NULL,Arshad Khan,Arshad Khan,
1070700%,Arshad Khan (2),Left hand Bat,Left arm Medium, ,Mohd Arshad Khan,Mohd Arshad,
338800%,Arshdeep Singh,Left hand Bat,Left arm Medium fast, ,Arshdeep Singh,Arshdeep Singh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Arshdeep%20Singh.png
310000%,AS Joseph,Right hand Bat,Right arm Fast, ,Alzarri Shaheim Joseph,Alzarri Shaheim,
21900%,AS Rajpoot,Right hand Bat,Right arm Medium, ,Ankit Singh Rajpoot,Ankit Singh,
1338800%,AS Raut,Right hand Bat,Legbreak Googly, ,Abhishek Santosh Raut,Abhishek Santosh,
